name,description
Sappy Seed,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Drains HP from opponent each turn.
Prob. (%): 100.0
"
Scald,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 30.0
"
Scale Shot,"Power: 25.0
Acc.: 90
PP: 20.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
Prob. (%): nan
"
Scary Face,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Sharply lowers opponent's Speed.
Prob. (%): nan
"
Scorching Sands,"Power: 70.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May burn the target.
Prob. (%): nan
"
Scratch,"Power: 40.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Screech,"Power: nan
Acc.: 85
PP: 40.0
Damage Class: Status
Effect: Sharply lowers opponent's Defense.
Prob. (%): nan
"
Searing Shot,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 30.0
"
Searing Sunraze Smash,"Power: 200.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Solgaleo-exclusive Z-Move.
Prob. (%): nan
"
Secret Power,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Effects of the attack vary with the location.
Prob. (%): 30.0
"
Secret Sword,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Inflicts damage based on the target's Defense, not Special Defense.
Prob. (%): nan
"
Seed Bomb,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Seed Flare,"Power: 120.0
Acc.: 85
PP: 5.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 40.0
"
Seismic Toss,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Inflicts damage equal to user's level.
Prob. (%): nan
"
Self Destruct,"Power: 200.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: User faints.
Prob. (%): nan
"
Shadow Ball,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 20.0
"
Shadow Bone,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 20.0
"
Shadow Claw,"Power: 70.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Shadow Force,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Disappears on first turn, attacks on second. Can strike through Protect/Detect.
Prob. (%): nan
"
Shadow Punch,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Physical
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Shadow Sneak,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Sharpen,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Raises user's Attack.
Prob. (%): nan
"
Sheer Cold,"Power: nan
Acc.: 30
PP: 5.0
Damage Class: Special
Effect: One-Hit-KO, if it hits.
Prob. (%): nan
"
Shell Side Arm,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May poison opponent. Inflicts either Special or Physical damage, whichever is better.
Prob. (%): nan
"
Shell Smash,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.
Prob. (%): nan
"
Shell Trap,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Deals more damage to opponent if hit by a Physical move.
Prob. (%): nan
"
Shift Gear,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Raises user's Attack and sharply raises Speed.
Prob. (%): nan
"
Shock Wave,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Special
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Shore Up,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user regains up to half of its max HP. It restores more HP in a sandstorm.
Prob. (%): nan
"
Signal Beam,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 10.0
"
Silver Wind,"Power: 60.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May raise all stats of user at once.
Prob. (%): 10.0
"
Simple Beam,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Changes target's ability to Simple.
Prob. (%): nan
"
Sing,"Power: nan
Acc.: 55
PP: 15.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Sinister Arrow Raid,"Power: 180.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Decidueye-exclusive Z-Move.
Prob. (%): nan
"
Sizzly Slide,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Burns the opponent.
Prob. (%): 100.0
"
Sketch,"Power: nan
Acc.: nan
PP: 1.0
Damage Class: Status
Effect: Permanently copies the opponent's last move.
Prob. (%): nan
"
Skill Swap,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user swaps Abilities with the opponent.
Prob. (%): nan
"
Skitter Smack,"Power: 70.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Lowers opponent's Sp. Attack.
Prob. (%): nan
"
Skull Bash,"Power: 130.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Raises Defense on first turn, attacks on second.
Prob. (%): 100.0
"
Sky Attack,"Power: 140.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.
Prob. (%): 30.0
"
Sky Drop,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Takes opponent into the air on first turn, drops them on second turn.
Prob. (%): nan
"
Sky Uppercut,"Power: 85.0
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: Hits the opponent, even during Fly.
Prob. (%): nan
"
Slack Off,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half its max HP.
Prob. (%): nan
"
Slam,"Power: 80.0
Acc.: 75
PP: 20.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Slash,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Sleep Powder,"Power: nan
Acc.: 75
PP: 15.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Sleep Talk,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User performs one of its own moves while sleeping.
Prob. (%): nan
"
Sludge,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May poison opponent.
Prob. (%): 30.0
"
Sludge Bomb,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May poison opponent.
Prob. (%): 30.0
"
Sludge Wave,"Power: 95.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May poison opponent.
Prob. (%): 10.0
"
Smack Down,"Power: 50.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Makes Flying-type Pokémon vulnerable to Ground moves.
Prob. (%): 100.0
"
Smart Strike,"Power: 70.0
Acc.: nan
PP: 10.0
Damage Class: Physical
Effect: The user stabs the target with a sharp horn. This attack never misses.
Prob. (%): nan
"
Smelling Salts,"Power: 70.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power doubles if opponent is paralyzed, but cures it.
Prob. (%): nan
"
Smog,"Power: 30.0
Acc.: 70
PP: 20.0
Damage Class: Special
Effect: May poison opponent.
Prob. (%): 40.0
"
Smokescreen,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Accuracy.
Prob. (%): nan
"
Snap Trap,"Power: 35.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Snarl,"Power: 55.0
Acc.: 95
PP: 15.0
Damage Class: Special
Effect: Lowers opponent's Special Attack.
Prob. (%): 100.0
"
Snatch,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Steals the effects of the opponent's next move.
Prob. (%): nan
"
Snipe Shot,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Ignores moves and abilities that draw in moves. High critical hit ratio.
Prob. (%): nan
"
Snore,"Power: 50.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Can only be used if asleep. May cause flinching.
Prob. (%): 30.0
"
Soak,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Changes the target's type to water.
Prob. (%): nan
"
Soft Boiled,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half its max HP.
Prob. (%): nan
"
Solar Beam,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Charges on first turn, attacks on second.
Prob. (%): nan
"
Solar Blade,"Power: 125.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Charges on first turn, attacks on second.
Prob. (%): nan
"
Sonic Boom,"Power: nan
Acc.: 90
PP: 20.0
Damage Class: Special
Effect: Always inflicts 20 HP.
Prob. (%): nan
"
Soul Stealing 7 Star Strike,"Power: 195.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Marshadow-exclusive Z-Move.
Prob. (%): nan
"
Spacial Rend,"Power: 100.0
Acc.: 95
PP: 5.0
Damage Class: Special
Effect: High critical hit ratio.
Prob. (%): nan
"
Spark,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Sparkling Aria,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Heals the burns of its target.
Prob. (%): nan
"
Sparkly Swirl,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Cures all status problems in the party Pokémon.
Prob. (%): nan
"
Spectral Thief,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The user hides in the target's shadow, steals the target's stat boosts, and then attacks.
Prob. (%): nan
"
Speed Swap,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user exchanges Speed stats with the target.
Prob. (%): nan
"
Spider Web,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Opponent cannot escape/switch.
Prob. (%): nan
"
Spike Cannon,"Power: 20.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Spikes,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Hurts opponents when they switch into battle.
Prob. (%): nan
"
Spiky Shield,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the user and inflicts damage on contact.
Prob. (%): nan
"
Spirit Break,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Lowers opponent's Special Attack.
Prob. (%): 100.0
"
Spirit Shackle,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Prevents the opponent from switching out.
Prob. (%): nan
"
Spit Up,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Power depends on how many times the user performed Stockpile.
Prob. (%): nan
"
Spite,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: The opponent's last move loses 2-5 PP.
Prob. (%): nan
"
Splash,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Doesn't do ANYTHING.
Prob. (%): nan
"
Splintered Stormshards,"Power: 190.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Lycanroc-exclusive Z-Move.
Prob. (%): nan
"
Splishy Splash,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Spore,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Spotlight,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: The user shines a spotlight on the target so that only the target will be attacked during the turn.
Prob. (%): nan
"
Stealth Rock,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Damages opponent switching into battle.
Prob. (%): nan
"
Steam Eruption,"Power: 110.0
Acc.: 95
PP: 5.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 30.0
"
Steamroller,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Steel Beam,"Power: 140.0
Acc.: 95
PP: 5.0
Damage Class: Special
Effect: User loses 50% of its HP.
Prob. (%): nan
"
Steel Roller,"Power: 130.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Fails if no Terrain in effect.
Prob. (%): nan
"
Steel Wing,"Power: 70.0
Acc.: 90
PP: 25.0
Damage Class: Physical
Effect: May raise user's Defense.
Prob. (%): 10.0
"
Sticky Web,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Speed when switching into battle.
Prob. (%): nan
"
Stockpile,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Stores energy for use with Spit Up and Swallow.
Prob. (%): nan
"
Stoked Sparksurfer,"Power: 175.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Alolan Raichu-exclusive Electric type Z-Move.
Prob. (%): 100.0
"
Stomp,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Stomping Tantrum,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.
Prob. (%): nan
"
Stone Edge,"Power: 100.0
Acc.: 80
PP: 5.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Stored Power,"Power: 20.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Power increases when user's stats have been raised.
Prob. (%): nan
"
Storm Throw,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Always results in a critical hit.
Prob. (%): 100.0
"
Strange Steam,"Power: 90.0
Acc.: 95
PP: 10.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 20.0
"
Strength,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Strength Sap,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
Prob. (%): 100.0
"
String Shot,"Power: nan
Acc.: 95
PP: 40.0
Damage Class: Status
Effect: Sharply lowers opponent's Speed.
Prob. (%): nan
"
Struggle,"Power: 50.0
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Only usable when all PP are gone. Hurts the user.
Prob. (%): nan
"
Struggle Bug,"Power: 50.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Lowers opponent's Special Attack.
Prob. (%): 100.0
"
Stuff Cheeks,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user eats its held Berry, then sharply raises its Defense stat.
Prob. (%): 100.0
"
Stun Spore,"Power: nan
Acc.: 75
PP: 30.0
Damage Class: Status
Effect: Paralyzes opponent.
Prob. (%): nan
"
Submission,"Power: 80.0
Acc.: 80
PP: 20.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Substitute,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Uses HP to creates a decoy that takes hits.
Prob. (%): nan
"
Sucker Punch,"Power: 70.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: User attacks first, but only works if opponent is readying an attack.
Prob. (%): nan
"
Sunny Day,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Makes it sunny for 5 turns.
Prob. (%): nan
"
Sunsteel Strike,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Ignores the target's ability.
Prob. (%): nan
"
Super Fang,"Power: nan
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Always takes off half of the opponent's HP.
Prob. (%): nan
"
Superpower,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Lowers user's Attack and Defense.
Prob. (%): 100.0
"
Supersonic,"Power: nan
Acc.: 55
PP: 20.0
Damage Class: Status
Effect: Confuses opponent.
Prob. (%): nan
"
Surf,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Hits all adjacent Pokémon.
Prob. (%): nan
"
Surging Strikes,"Power: 25.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Always results in a critical hit and ignores stat changes.
Prob. (%): nan
"
Swagger,"Power: nan
Acc.: 85
PP: 15.0
Damage Class: Status
Effect: Confuses opponent, but sharply raises its Attack.
Prob. (%): nan
"
Swallow,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The more times the user has performed Stockpile, the more HP is recovered.
Prob. (%): nan
"
Sweet Kiss,"Power: nan
Acc.: 75
PP: 10.0
Damage Class: Status
Effect: Confuses opponent.
Prob. (%): nan
"
Sweet Scent,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Evasiveness.
Prob. (%): nan
"
Swift,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Special
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Switcheroo,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Swaps held items with the opponent.
Prob. (%): nan
"
Swords Dance,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Attack.
Prob. (%): nan
"
Synchronoise,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Hits any Pokémon that shares a type with the user.
Prob. (%): nan
"
Synthesis,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: User recovers HP. Amount varies with the weather.
Prob. (%): nan
"
Tackle,"Power: 40.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Tail Glow,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Drastically raises user's Special Attack.
Prob. (%): nan
"
Tail Slap,"Power: 25.0
Acc.: 85
PP: 10.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Tail Whip,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Status
Effect: Lowers opponent's Defense.
Prob. (%): nan
"
Tailwind,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Doubles Speed for 4 turns.
Prob. (%): nan
"
Take Down,"Power: 90.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Tar Shot,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Lowers the opponent's Speed and makes them weaker to Fire-type moves.
Prob. (%): 100.0
"
Taunt,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Opponent can only use moves that attack.
Prob. (%): nan
"
Tearful Look,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
Prob. (%): 100.0
"
Teatime,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Forces all Pokémon on the field to eat their berries.
Prob. (%): nan
"
Techno Blast,"Power: 120.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Type depends on the Drive being held.
Prob. (%): nan
"
Teeter Dance,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Confuses all Pokémon.
Prob. (%): nan
"
Telekinesis,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Ignores opponent's Evasiveness for three turns, add Ground immunity.
Prob. (%): nan
"
Teleport,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Allows user to flee wild battles; also warps player to last PokéCenter.
Prob. (%): nan
"
Terrain Pulse,"Power: 50.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Type and power change depending on the Terrain in effect.
Prob. (%): nan
"
Thief,"Power: 60.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: Also steals opponent's held item.
Prob. (%): nan
"
Thousand Arrows,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Makes Flying-type Pokémon vulnerable to Ground moves.
Prob. (%): nan
"
Thousand Waves,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Opponent cannot flee or switch.
Prob. (%): nan
"
Thrash,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User attacks for 2-3 turns but then becomes confused.
Prob. (%): nan
"
Throat Chop,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Prevents use of sound moves for two turns.
Prob. (%): 100.0
"
Thunder,"Power: 110.0
Acc.: 70
PP: 10.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Thunder Cage,"Power: 80.0
Acc.: 90
PP: 15.0
Damage Class: Special
Effect: Deals damage and traps opponent, damaging them for 4-5 turns.
Prob. (%): nan
"
Thunder Fang,"Power: 65.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: May cause flinching and/or paralyze opponent.
Prob. (%): 10.0
"
Thunder Punch,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 10.0
"
Thunder Shock,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 10.0
"
Thunder Wave,"Power: nan
Acc.: 90
PP: 20.0
Damage Class: Status
Effect: Paralyzes opponent.
Prob. (%): nan
"
Thunderbolt,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May paralyze opponent.
Prob. (%): 10.0
"
Thunderous Kick,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Lowers opponent's Defense.
Prob. (%): 100.0
"
Tickle,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Attack and Defense.
Prob. (%): nan
"
Topsy Turvy,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Reverses stat changes of opponent.
Prob. (%): nan
"
Torment,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Opponent cannot use the same move in a row.
Prob. (%): nan
"
Toxic,"Power: nan
Acc.: 90
PP: 10.0
Damage Class: Status
Effect: Badly poisons opponent.
Prob. (%): nan
"
Toxic Spikes,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Poisons opponents when they switch into battle.
Prob. (%): nan
"
Toxic Thread,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers target's Speed.
Prob. (%): 100.0
"
Transform,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User takes on the form and attacks of the opponent.
Prob. (%): nan
"
Tri Attack,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May paralyze, burn or freeze opponent.
Prob. (%): 20.0
"
Trick,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Swaps held items with the opponent.
Prob. (%): nan
"
Trick Or Treat,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Adds Ghost type to opponent.
Prob. (%): nan
"
Trick Room,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Slower Pokémon move first in the turn for 5 turns.
Prob. (%): nan
"
Triple Axel,"Power: 20.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Attacks thrice with more power each time.
Prob. (%): nan
"
Triple Kick,"Power: 10.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Hits thrice in one turn at increasing power.
Prob. (%): nan
"
Trop Kick,"Power: 70.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Lowers opponent's Attack.
Prob. (%): 100.0
"
Trump Card,"Power: nan
Acc.: ∞
PP: 5.0
Damage Class: Special
Effect: The lower the PP, the higher the power.
Prob. (%): nan
"
Twineedle,"Power: 25.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Hits twice in one turn. May poison opponent.
Prob. (%): 20.0
"
Twister,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Prob. (%): 20.0
"
U Turn,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: User switches out immediately after attacking.
Prob. (%): nan
"
Uproar,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: User attacks for 3 turns and prevents sleep.
Prob. (%): nan
"
V Create,"Power: 180.0
Acc.: 95
PP: 5.0
Damage Class: Physical
Effect: Lowers user's Defense, Special Defense and Speed.
Prob. (%): 100.0
"
Vacuum Wave,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Special
Effect: User attacks first.
Prob. (%): nan
"
Veevee Volley,"Power: nan
Acc.: ∞
PP: 20.0
Damage Class: Physical
Effect: Power increases when player's bond is stronger.
Prob. (%): nan
"
Venom Drench,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers poisoned opponent's Special Attack and Speed.
Prob. (%): 100.0
"
Venoshock,"Power: 65.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Inflicts double damage if the target is poisoned.
Prob. (%): nan
"
Vine Whip,"Power: 45.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Vise Grip,"Power: 55.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Vital Throw,"Power: 70.0
Acc.: ∞
PP: 10.0
Damage Class: Physical
Effect: User attacks last, but ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Volt Switch,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: User must switch out after attacking.
Prob. (%): nan
"
Volt Tackle,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage. May paralyze opponent.
Prob. (%): 10.0
"
Wake Up Slap,"Power: 70.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power doubles if opponent is asleep, but wakes it up.
Prob. (%): nan
"
Water Gun,"Power: 40.0
Acc.: 100
PP: 25.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Water Pledge,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Prob. (%): nan
"
Water Pulse,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 20.0
"
Water Shuriken,"Power: 15.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Water Sport,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Weakens the power of Fire-type moves.
Prob. (%): nan
"
Water Spout,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: The higher the user's HP, the higher the damage caused.
Prob. (%): nan
"
Waterfall,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 20.0
"
Weather Ball,"Power: 50.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Move's power and type changes with the weather.
Prob. (%): nan
"
